FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID
Autistica - Work: Self Confidence,120,43440948,Completely confident,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,01/01/2019,87
Autistica - Work: Self Confidence,120,77705205,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,01/01/2019,88
Autistica - Work: Self Confidence,120,58358243,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,01/01/2019,89
Autistica - Work: Self Confidence,120,47815963,Not confident at all,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,01/01/2019,90
Autistica - Work: Self Confidence,120,69828639,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,01/01/2019,91
Autistica - Work: Self Confidence,120,38868666,Not confident at all,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,01/01/2019,92
Autistica - Work: Self Confidence,120,72888018,Not confident at all,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,01/01/2019,93
Autistica - Work: Self Confidence,120,43522829,Completely confident,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,01/01/2019,94
Autistica - Work: Self Confidence,120,41811454,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,01/01/2019,95
Autistica - Work: Self Confidence,120,40690745,Completely confident,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,01/01/2019,96
Autistica - Work: Self Confidence,120,25057429,Not confident at all,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,01/01/2019,97
Autistica - Work: Self Confidence,120,39249976,Not confident at all,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,01/01/2019,98
Autistica - Work: Self Confidence,120,63410382,Completely confident,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,01/01/2019,99
Autistica - Work: Self Confidence,120,61657100,Not confident at all,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,01/01/2019,100
Autistica - Work: Self Confidence,120,22222222,Completely confident,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,14/01/2019,101
Autistica - Work: Self Confidence,120,11111111,Not confident at all,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,14/01/2019,102
Autistica - Work: Self Confidence,120,12077101,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,14/01/2019,103
Autistica - Work: Self Confidence,120,38961843,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,14/01/2019,104
Autistica - Work: Self Confidence,120,67611589,Completely confident,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,14/01/2019,105
Autistica - Work: Self Confidence,120,32500162,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,14/01/2019,106
Autistica - Work: Self Confidence,120,90705766,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,14/01/2019,107
Autistica - Work: Self Confidence,120,46465154,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,14/01/2019,108
Autistica - Work: Self Confidence,120,36480781,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,14/01/2019,109
Autistica - Work: Self Confidence,120,86004302,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,14/01/2019,110
Autistica - Work: Self Confidence,120,74046800,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,14/01/2019,111
Autistica - Work: Self Confidence,120,67512682,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,14/01/2019,112
Autistica - Work: Self Confidence,120,87436666,Completely confident,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,14/01/2019,113
Autistica - Work: Self Confidence,120,28755653,Completely confident,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,14/01/2019,114
Autistica - Work: Self Confidence,120,66722819,Not confident at all,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,14/01/2019,115
Autistica - Work: Self Confidence,120,65438804,Completely confident,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,14/01/2019,116
Autistica - Work: Self Confidence,120,15938146,Completely confident,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,14/01/2019,117
Autistica - Work: Self Confidence,120,37603401,Completely confident,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,14/01/2019,118
Autistica - Work: Self Confidence,120,23337145,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,14/01/2019,119
Autistica - Work: Self Confidence,120,99599196,Completely confident,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,14/01/2019,120
Autistica - Work: Self Confidence,120,25718877,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,14/01/2019,121
Autistica - Work: Self Confidence,120,97909632,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,14/01/2019,122
Autistica - Work: Self Confidence,120,40268226,Completely confident,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,14/01/2019,123
Autistica - Work: Self Confidence,120,63985686,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,14/01/2019,124
Autistica - Work: Self Confidence,120,63237915,Not confident at all,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,14/01/2019,125
Autistica - Work: Self Confidence,120,50544037,Completely confident,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,14/01/2019,126
Autistica - Work: Self Confidence,120,14286843,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,14/01/2019,127
Autistica - Work: Self Confidence,120,53175760,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,14/01/2019,128
Autistica - Work: Self Confidence,120,56361261,Not confident at all,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,14/01/2019,129
Autistica - Work: Self Confidence,120,66411825,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,14/01/2019,130
Autistica - Work: Self Confidence,120,34060153,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,14/01/2019,131
